,Unnamed: 0,index,archive_index_number,timestamp,non_event_flag,over_freq_flag,over_freq_index,under_freq_flag,under_freq_index,ambig_flag,severity_desc,file_name,ABC_values,Event Check
3726,3726,48808,48808,2019-12-13 10:07:13.467000,False,False,,True,3363.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-10-12_11309.csv,"[nan, nan, nan]",
3727,3727,48820,48820,2019-12-13 11:04:49.467000,False,False,,True,11283.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-11-09_11321.csv,"[nan, nan, nan]",
3728,3728,48824,48824,2019-12-13 11:24:01.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-11-28_11325.csv,"[nan, nan, nan]",
3729,3729,48827,48827,2019-12-13 11:38:25.467000,False,True,1763.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-11-43_11328.csv,"[nan, nan, nan]",
3730,3730,48877,48877,2019-12-13 15:38:25.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-15-43_11378.csv,"[nan, nan, nan]",
3731,3731,48881,48881,2019-12-13 15:57:37.467000,False,True,7787.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-16-02_11382.csv,"[nan, nan, nan]",
3732,3732,48884,48884,2019-12-13 16:12:01.467000,False,True,7.0,True,11419.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-16-16_11385.csv,"[nan, nan, nan]",
3733,3733,48893,48893,2019-12-13 16:55:13.467000,False,True,8727.0,True,3161.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-17-00_11394.csv,"[nan, nan, nan]",
3734,3734,48897,48897,2019-12-13 17:14:25.467000,False,False,,True,14216.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-17-19_11398.csv,"[nan, nan, nan]",
3735,3735,48898,48898,2019-12-13 17:19:13.467000,False,False,,True,674.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-17-24_11399.csv,"[nan, nan, nan]",
3736,3736,48901,48901,2019-12-13 17:33:37.467000,False,False,,True,13856.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-13-17-38_11402.csv,"[nan, nan, nan]",
3737,3737,48934,48935,2019-12-17 13:52:49.467000,False,False,,True,536.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-17-13-57_12556.csv,"[nan, nan, nan]",
3738,3738,48948,48949,2019-12-17 15:00:01.467000,False,True,9343.0,True,1582.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-17-15-04_12570.csv,"[nan, nan, nan]",
3739,3739,48960,48961,2019-12-17 15:57:37.467000,False,False,,True,0.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-17-16-02_12582.csv,"[nan, nan, nan]",
3740,3740,48982,48983,2019-12-17 17:43:13.467000,False,False,,True,688.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-17-17-48_12604.csv,"[nan, nan, nan]",
3741,3741,49012,49013,2019-12-17 20:07:13.467000,False,False,,True,624.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-17-20-12_12634.csv,"[nan, nan, nan]",
3742,3742,49091,49092,2019-12-18 02:26:25.467000,False,True,7181.0,True,17533.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-02-31_12713.csv,"[nan, nan, nan]",
3743,3743,49106,49107,2019-12-18 03:38:25.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-03-43_12728.csv,"[nan, nan, nan]",
3744,3744,49121,49122,2019-12-18 04:50:25.467000,False,True,14640.0,True,3151.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-04-55_12743.csv,"[nan, nan, nan]",
3745,3745,49124,49125,2019-12-18 05:04:49.467000,False,False,,True,712.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-05-09_12746.csv,"[nan, nan, nan]",
3746,3746,49164,49165,2019-12-18 08:16:49.467000,False,True,10073.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-08-21_12786.csv,"[nan, nan, nan]",
3747,3747,49212,49213,2019-12-18 12:07:13.467000,False,True,2238.0,True,633.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-12-12_12834.csv,"[nan, nan, nan]",
3748,3748,49238,49238,2019-12-18 14:07:13.467000,False,False,,True,10975.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-18-14-12_12859.csv,"[nan, nan, nan]",
3749,3749,49248,49248,2019-12-28 21:19:13.467000,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-28-21-24_15949.csv,"[nan, nan, nan]",
3750,3750,49270,49270,2019-12-29 02:02:25.467000,False,True,9572.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-02-07_16008.csv,"[nan, nan, nan]",
3751,3751,49310,49310,2019-12-29 05:14:25.467000,False,True,6693.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-05-19_16048.csv,"[nan, nan, nan]",
3752,3752,49319,49319,2019-12-29 05:57:37.467000,False,True,7110.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-06-02_16057.csv,"[nan, nan, nan]",
3753,3753,49373,49373,2019-12-29 10:16:49.467000,False,True,4769.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-10-21_16111.csv,"[nan, nan, nan]",
3754,3754,49387,49387,2019-12-29 11:24:01.467000,False,True,15921.0,True,7449.0,True,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-11-28_16125.csv,"[nan, nan, nan]",
3755,3755,49401,49401,2019-12-29 12:31:13.467000,False,True,0.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-12-36_16139.csv,"[nan, nan, nan]",
3756,3756,49415,49415,2019-12-29 13:38:25.467000,False,True,712.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-13-43_16153.csv,"[nan, nan, nan]",
3757,3757,49457,49457,2019-12-29 17:00:01.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-17-04_16195.csv,"[nan, nan, nan]",
3758,3758,49488,49488,2019-12-29 19:28:49.467000,False,True,6902.0,True,1472.0,True,Major,G:/My Drive/PGE Frequency Response/Archive2019-12-29-19-33_16226.csv,"[nan, nan, nan]",
3759,3759,49609,49609,2019-12-30 05:09:37.467000,False,True,431.0,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-05-14_16347.csv,"[nan, nan, nan]",
3760,3760,49625,49625,2019-12-30 06:26:25.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-06-31_16363.csv,"[nan, nan, nan]",
3761,3761,49632,49632,2019-12-30 07:00:01.467000,False,False,,True,1579.0,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-04_16370.csv,"[nan, nan, nan]",
3762,3762,49634,49634,2019-12-30 07:09:37.467000,False,True,6160.0,True,12105.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-14_16372.csv,"[nan, nan, nan]",
49634,2019-12-30 07:09:37.467000,False,True,6160.0,True,12105.0,True,Major,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-16-47_301.csv,"[nan, nan, nan]",3762,49634
49635,2020-07-03 16:47:07.786000,False,True,647,False,nan,False,None,G:/My Drive/PGE Frequency Response/Archive/2020-07-03-16-51_302.csv,"[nan, nan, nan]",3762,49634
