,49640,2019-12-30 07:38:25.467000,False,False.1,nan,False.2,nan.1,False.3,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-07-43_16378.csv,"[nan, nan, nan]",Event Check
62,49703,2019-12-30 12:40:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-45_16441.csv,"[nan, nan, nan]",
63,49704,2019-12-30 12:45:37.467000,False,True,13985.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-50_16442.csv,"[nan, nan, nan]",
64,49705,2019-12-30 12:50:25.467000,False,True,10220.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-12-55_16443.csv,"[nan, nan, nan]",
65,49706,2019-12-30 12:55:13.467000,False,True,2.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-00_16444.csv,"[nan, nan, nan]",
66,49707,2019-12-30 13:00:01.467000,False,True,522.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-04_16445.csv,"[nan, nan, nan]",
67,49708,2019-12-30 13:04:49.467000,False,True,1878.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-09_16446.csv,"[nan, nan, nan]",
68,49709,2019-12-30 13:09:37.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-14_16447.csv,"[nan, nan, nan]",
69,49710,2019-12-30 13:14:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-19_16448.csv,"[nan, nan, nan]",
70,49711,2019-12-30 13:19:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-24_16449.csv,"[nan, nan, nan]",
71,49712,2019-12-30 13:24:01.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-28_16450.csv,"[nan, nan, nan]",
72,49713,2019-12-30 13:28:49.467000,False,True,7708.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-33_16451.csv,"[nan, nan, nan]",
73,49714,2019-12-30 13:33:37.467000,False,True,2018.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-38_16452.csv,"[nan, nan, nan]",
74,49715,2019-12-30 13:38:25.467000,False,True,1912.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-43_16453.csv,"[nan, nan, nan]",
75,49716,2019-12-30 13:43:13.467000,False,True,2572.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-48_16454.csv,"[nan, nan, nan]",
76,49717,2019-12-30 13:48:01.467000,False,False,,True,9540.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-52_16455.csv,"[nan, nan, nan]",
77,49718,2019-12-30 13:52:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-13-57_16456.csv,"[nan, nan, nan]",
78,49719,2019-12-30 13:57:37.467000,False,False,,False,,False,Major,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-02_16457.csv,"[nan, nan, nan]",
79,49720,2019-12-30 14:02:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-07_16458.csv,"[nan, nan, nan]",
80,49721,2019-12-30 14:07:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-12_16459.csv,"[nan, nan, nan]",
81,49722,2019-12-30 14:12:01.467000,False,False,,True,4485.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-16_16460.csv,"[nan, nan, nan]",
82,49723,2019-12-30 14:16:49.467000,False,False,,True,132.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-21_16461.csv,"[nan, nan, nan]",
83,49724,2019-12-30 14:21:37.467000,False,True,15036.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-26_16462.csv,"[nan, nan, nan]",
84,49725,2019-12-30 14:26:25.467000,False,True,3988.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-31_16463.csv,"[nan, nan, nan]",
85,49726,2019-12-30 14:31:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-36_16464.csv,"[nan, nan, nan]",
86,49727,2019-12-30 14:36:01.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-40_16465.csv,"[nan, nan, nan]",
87,49728,2019-12-30 14:40:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-45_16466.csv,"[nan, nan, nan]",
88,49729,2019-12-30 14:45:37.467000,False,True,2266.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-50_16467.csv,"[nan, nan, nan]",
89,49730,2019-12-30 14:50:25.467000,False,True,5764.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-14-55_16468.csv,"[nan, nan, nan]",
90,49731,2019-12-30 14:55:13.467000,False,True,1974.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-00_16469.csv,"[nan, nan, nan]",
91,49732,2019-12-30 15:00:01.467000,False,True,674.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-04_16470.csv,"[nan, nan, nan]",
92,49733,2019-12-30 15:04:49.467000,False,True,3957.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-09_16471.csv,"[nan, nan, nan]",
93,49734,2019-12-30 15:09:37.467000,False,True,4725.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-14_16472.csv,"[nan, nan, nan]",
94,49735,2019-12-30 15:14:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-19_16473.csv,"[nan, nan, nan]",
95,49736,2019-12-30 15:19:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-24_16474.csv,"[nan, nan, nan]",
96,49737,2019-12-30 15:24:01.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-28_16475.csv,"[nan, nan, nan]",
97,49738,2019-12-30 15:28:49.467000,False,False,,True,6408.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-33_16476.csv,"[nan, nan, nan]",
98,49739,2019-12-30 15:33:37.467000,False,False,,True,6789.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-38_16477.csv,"[nan, nan, nan]",
99,49740,2019-12-30 15:38:25.467000,False,False,,True,368.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-43_16478.csv,"[nan, nan, nan]",
100,49741,2019-12-30 15:43:13.467000,False,False,,True,2519.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-48_16479.csv,"[nan, nan, nan]",
101,49742,2019-12-30 15:48:01.467000,False,False,,True,459.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-52_16480.csv,"[nan, nan, nan]",
102,49743,2019-12-30 15:52:49.467000,False,False,,True,0.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-15-57_16481.csv,"[nan, nan, nan]",
103,49744,2019-12-30 15:57:37.467000,False,False,,True,0.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-02_16482.csv,"[nan, nan, nan]",
104,49745,2019-12-30 16:02:25.467000,False,False,,True,2402.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-07_16483.csv,"[nan, nan, nan]",
105,49746,2019-12-30 16:07:13.467000,False,True,12237.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-12_16484.csv,"[nan, nan, nan]",
106,49747,2019-12-30 16:12:01.467000,False,True,2195.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-16_16485.csv,"[nan, nan, nan]",
107,49748,2019-12-30 16:16:49.467000,False,False,,True,9605.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-21_16486.csv,"[nan, nan, nan]",
108,49749,2019-12-30 16:21:37.467000,False,False,,True,7119.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-26_16487.csv,"[nan, nan, nan]",
109,49750,2019-12-30 16:26:25.467000,False,False,,True,542.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-31_16488.csv,"[nan, nan, nan]",
110,49751,2019-12-30 16:31:13.467000,False,False,,True,40.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-36_16489.csv,"[nan, nan, nan]",
111,49752,2019-12-30 16:36:01.467000,False,False,,True,242.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-40_16490.csv,"[nan, nan, nan]",
112,49753,2019-12-30 16:40:49.467000,False,False,,True,0.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-45_16491.csv,"[nan, nan, nan]",
113,49754,2019-12-30 16:45:37.467000,False,False,,True,0.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-50_16492.csv,"[nan, nan, nan]",
114,49755,2019-12-30 16:50:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-16-55_16493.csv,"[nan, nan, nan]",
115,49756,2019-12-30 16:55:13.467000,False,True,145.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-00_16494.csv,"[nan, nan, nan]",
116,49757,2019-12-30 17:00:01.467000,False,True,1038.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-04_16495.csv,"[nan, nan, nan]",
117,49758,2019-12-30 17:04:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-09_16496.csv,"[nan, nan, nan]",
118,49759,2019-12-30 17:09:37.467000,False,False,,True,5383.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-14_16497.csv,"[nan, nan, nan]",
119,49760,2019-12-30 17:14:25.467000,False,False,,True,246.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-19_16498.csv,"[nan, nan, nan]",
120,49761,2019-12-30 17:19:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-24_16499.csv,"[nan, nan, nan]",
121,49762,2019-12-30 17:24:01.467000,False,False,,True,14110.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-28_16500.csv,"[nan, nan, nan]",
122,49763,2019-12-30 17:28:49.467000,False,False,,True,4518.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-33_16501.csv,"[nan, nan, nan]",
123,49764,2019-12-30 17:33:37.467000,False,False,,True,2507.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-38_16502.csv,"[nan, nan, nan]",
124,49765,2019-12-30 17:38:25.467000,False,True,16561.0,True,1165.0,True,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-43_16503.csv,"[nan, nan, nan]",
125,49766,2019-12-30 17:43:13.467000,False,False,,True,13292.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-48_16504.csv,"[nan, nan, nan]",
126,49767,2019-12-30 17:48:01.467000,False,False,,True,0.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-52_16505.csv,"[nan, nan, nan]",
127,49768,2019-12-30 17:52:49.467000,False,True,5371.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-17-57_16506.csv,"[nan, nan, nan]",
128,49769,2019-12-30 17:57:37.467000,False,True,812.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-02_16507.csv,"[nan, nan, nan]",
129,49770,2019-12-30 18:02:25.467000,False,True,6522.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-07_16508.csv,"[nan, nan, nan]",
130,49771,2019-12-30 18:07:13.467000,False,False,,True,7160.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-12_16509.csv,"[nan, nan, nan]",
131,49772,2019-12-30 18:12:01.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-16_16510.csv,"[nan, nan, nan]",
132,49773,2019-12-30 18:16:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-21_16511.csv,"[nan, nan, nan]",
133,49774,2019-12-30 18:21:37.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-26_16512.csv,"[nan, nan, nan]",
134,49775,2019-12-30 18:26:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-31_16513.csv,"[nan, nan, nan]",
135,49776,2019-12-30 18:31:13.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-36_16514.csv,"[nan, nan, nan]",
136,49777,2019-12-30 18:36:01.467000,False,True,4564.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-40_16515.csv,"[nan, nan, nan]",
137,49778,2019-12-30 18:40:49.467000,False,True,16166.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-45_16516.csv,"[nan, nan, nan]",
138,49779,2019-12-30 18:45:37.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-50_16517.csv,"[nan, nan, nan]",
139,49780,2019-12-30 18:50:25.467000,False,True,12228.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-18-55_16518.csv,"[nan, nan, nan]",
140,49781,2019-12-30 18:55:13.467000,False,True,2122.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-00_16519.csv,"[nan, nan, nan]",
141,49782,2019-12-30 19:00:01.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-04_16520.csv,"[nan, nan, nan]",
142,49783,2019-12-30 19:04:49.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-09_16521.csv,"[nan, nan, nan]",
143,49784,2019-12-30 19:09:37.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-14_16522.csv,"[nan, nan, nan]",
144,49785,2019-12-30 19:14:25.467000,False,True,3344.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-19_16523.csv,"[nan, nan, nan]",
145,49786,2019-12-30 19:19:13.467000,False,True,13487.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-24_16524.csv,"[nan, nan, nan]",
146,49787,2019-12-30 19:24:01.467000,False,True,10818.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-28_16525.csv,"[nan, nan, nan]",
147,49788,2019-12-30 19:28:49.467000,False,True,0.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-33_16526.csv,"[nan, nan, nan]",
148,49789,2019-12-30 19:33:37.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-38_16527.csv,"[nan, nan, nan]",
149,49790,2019-12-30 19:38:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-43_16528.csv,"[nan, nan, nan]",
150,49791,2019-12-30 19:43:13.467000,False,True,12950.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-48_16529.csv,"[nan, nan, nan]",
151,49792,2019-12-30 19:48:01.467000,False,True,1181.0,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-52_16530.csv,"[nan, nan, nan]",
152,49793,2019-12-30 19:52:49.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-19-57_16531.csv,"[nan, nan, nan]",
153,49794,2019-12-30 19:57:37.467000,False,False,,True,4100.0,False,Minor,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-20-02_16532.csv,"[nan, nan, nan]",
154,49795,2019-12-30 20:02:25.467000,False,False,,False,,False,None,G:/My Drive/PGE Frequency Response/Archive/2019-12-30-20-07_16533.csv,"[nan, nan, nan]",
